,IP,Traceroute
0,76.8.213.231,"[[97, 75, 191], [97, 75, 190], [97, 75, 190], [97, 75, 188], [66, 219, 235]]"
1,76.8.213.231,"[[97, 75, 191], [97, 75, 190], [97, 75, 190], [97, 75, 188], [66, 219, 235]]"
2,76.8.213.231,"[[97, 75, 191], [97, 75, 190], [97, 75, 190], [97, 75, 188], [66, 219, 235]]"
3,76.8.213.231,"[[97, 75, 191], [97, 75, 190], [97, 75, 190], [97, 75, 188], [66, 219, 235]]"
4,76.8.213.231,"[[97, 75, 191], [97, 75, 190], [97, 75, 190], [97, 75, 188], [66, 219, 235]]"
5,76.8.213.231,"[[97, 75, 191], [97, 75, 190], [97, 75, 190], [97, 75, 188], [66, 219, 235]]"
6,76.8.213.231,"[[97, 75, 191], [97, 75, 190], [97, 75, 190], [97, 75, 188], [66, 219, 235]]"
7,76.8.213.231,"[[97, 75, 191], [97, 75, 190], [97, 75, 190], [97, 75, 188], [66, 219, 235]]"
8,76.8.213.231,"[[97, 75, 191], [97, 75, 190], [97, 75, 190], [97, 75, 188], [66, 219, 235]]"
9,76.8.213.231,"[[97, 75, 191], [97, 75, 190], [97, 75, 190], [97, 75, 188], [66, 219, 235]]"
10,76.8.213.231,"[[97, 75, 191], [97, 75, 190], [97, 75, 190], [97, 75, 188], [66, 219, 235]]"
11,76.8.213.231,"[[97, 75, 191], [97, 75, 190], [97, 75, 190], [97, 75, 188], [66, 219, 235]]"
12,76.8.213.231,"[[97, 75, 191], [97, 75, 190], [97, 75, 190], [97, 75, 188], [66, 219, 235]]"
13,76.8.213.231,"[[97, 75, 191], [97, 75, 190], [97, 75, 190], [97, 75, 188], [66, 219, 235]]"
14,76.8.213.231,"[[97, 75, 191], [97, 75, 190], [97, 75, 190], [97, 75, 188], [66, 219, 235]]"
15,76.8.213.231,"[[97, 75, 191], [97, 75, 190], [97, 75, 190], [97, 75, 188], [66, 219, 235]]"
16,76.8.213.231,"[[97, 75, 191], [97, 75, 190], [97, 75, 190], [97, 75, 188], [66, 219, 235]]"
17,76.8.213.231,"[[97, 75, 191], [97, 75, 190], [97, 75, 190], [97, 75, 188], [66, 219, 235]]"
18,76.8.213.231,"[[97, 75, 191], [97, 75, 190], [97, 75, 190], [97, 75, 188], [66, 219, 235]]"
19,76.8.213.231,"[[97, 75, 191], [97, 75, 190], [97, 75, 190], [97, 75, 188], [66, 219, 235]]"
20,76.8.213.231,"[[97, 75, 191], [97, 75, 190], [97, 75, 190], [97, 75, 188], [66, 219, 235]]"
21,76.8.213.231,"[[97, 75, 191], [97, 75, 190], [97, 75, 190], [97, 75, 188], [66, 219, 235]]"
22,76.8.213.231,"[[97, 75, 191], [97, 75, 190], [97, 75, 190], [97, 75, 188], [66, 219, 235]]"
23,76.8.213.231,"[[97, 75, 191], [97, 75, 190], [97, 75, 190], [97, 75, 188], [66, 219, 235]]"
24,76.8.213.231,"[[97, 75, 191], [97, 75, 190], [97, 75, 190], [97, 75, 188], [66, 219, 235]]"
25,76.8.213.231,"[[97, 75, 191], [97, 75, 190], [97, 75, 190], [97, 75, 188], [66, 219, 235]]"
26,76.8.213.231,"[[97, 75, 191], [97, 75, 190], [97, 75, 190], [97, 75, 188], [66, 219, 235]]"
27,76.8.213.231,"[[97, 75, 191], [97, 75, 190], [97, 75, 190], [97, 75, 188], [66, 219, 235]]"
28,76.8.213.231,"[[97, 75, 191], [97, 75, 190], [97, 75, 190], [97, 75, 188], [66, 219, 235]]"
29,76.8.213.231,"[[97, 75, 191], [97, 75, 190], [97, 75, 190], [97, 75, 188], [66, 219, 235]]"
30,76.8.213.231,"[[97, 75, 191], [97, 75, 190], [97, 75, 190], [97, 75, 188], [66, 219, 235]]"
31,76.8.213.231,"[[97, 75, 191], [97, 75, 190], [97, 75, 190], [97, 75, 188], [66, 219, 235]]"
32,76.8.213.231,"[[97, 75, 191], [97, 75, 190], [97, 75, 190], [97, 75, 188], [66, 219, 235]]"
33,76.8.213.231,"[[97, 75, 191], [97, 75, 190], [97, 75, 190], [97, 75, 188], [66, 219, 235]]"
34,76.8.213.231,"[[97, 75, 191], [97, 75, 190], [97, 75, 190], [97, 75, 188], [66, 219, 235]]"
35,76.8.213.231,"[[97, 75, 191], [97, 75, 190], [97, 75, 190], [97, 75, 188], [66, 219, 235]]"
36,76.8.213.231,"[[97, 75, 191], [97, 75, 190], [97, 75, 190], [97, 75, 188], [66, 219, 235]]"
37,76.8.213.231,"[[97, 75, 191], [97, 75, 190], [97, 75, 190], [97, 75, 188], [66, 219, 235]]"
38,76.8.213.231,"[[97, 75, 191], [97, 75, 190], [97, 75, 190], [97, 75, 188], [66, 219, 235]]"
39,76.8.213.231,"[[97, 75, 191], [97, 75, 190], [97, 75, 190], [97, 75, 188], [66, 219, 235]]"
40,76.8.213.231,"[[97, 75, 191], [97, 75, 190], [97, 75, 190], [97, 75, 188], [66, 219, 235]]"
41,76.8.213.231,"[[97, 75, 191], [97, 75, 190], [97, 75, 190], [97, 75, 188], [66, 219, 235]]"
