,IP,Traceroute,TTL,Latency,Delay
0,66.219.235.215,"[[97, 75, 190], [97, 75, 188], [66, 219, 235]]",50.0,26.4,"[26.022, 26.251, 26.264, 26.563, 26.358]"
1,66.219.235.215,"[[97, 75, 190], [97, 75, 188], [66, 219, 235]]",50.0,26.3,"[27.631, 26.251, 26.346, 26.624, 26.224]"
2,66.219.235.215,"[[97, 75, 190], [97, 75, 188], [66, 219, 235]]",50.0,26.3,"[25.038, 26.114, 26.351, 26.684, 26.305]"
3,66.219.235.215,"[[97, 75, 190], [97, 75, 188], [66, 219, 235]]",50.0,26.3,"[37.128, 26.13, 26.448, 26.613, 26.196]"
4,66.219.235.215,"[[97, 75, 190], [97, 75, 188], [66, 219, 235]]",50.0,26.4,"[25.018, 25.967, 26.307, 26.781, 26.227]"
5,66.219.235.215,"[[97, 75, 190], [97, 75, 188], [66, 219, 235]]",50.0,26.3,"[25.157, 25.852, 26.335, 26.747, 26.329]"
6,66.219.235.215,"[[97, 75, 190], [97, 75, 188], [66, 219, 235]]",50.0,26.4,"[25.323, 25.781, 26.323, 26.871, 26.302]"
7,66.219.235.215,"[[97, 75, 190], [97, 75, 188], [66, 219, 235]]",50.0,26.3,"[25.086, 25.908, 29.24, 27.921, 26.33]"
8,66.219.235.215,"[[97, 75, 190], [97, 75, 188], [66, 219, 235]]",50.0,26.3,"[24.992, 26.788, 26.262, 26.682, 26.256]"
9,66.219.235.215,"[[97, 75, 190], [97, 75, 188], [66, 219, 235]]",50.0,26.4,"[25.051, 25.948, 26.301, 27.728, 26.296]"
10,66.219.235.215,"[[97, 75, 190], [97, 75, 188], [66, 219, 235]]",50.0,26.3,"[25.027, 25.893, 26.496, 26.598, 26.241]"
11,66.219.235.215,"[[97, 75, 190], [97, 75, 188], [66, 219, 235]]",50.0,26.3,"[31.187, 26.387, 28.618, 28.613, 26.372]"
12,66.219.235.215,"[[97, 75, 190], [97, 75, 188], [66, 219, 235]]",50.0,26.3,"[25.365, 26.009, 26.323, 26.58, 26.316]"
13,66.219.235.215,"[[97, 75, 190], [97, 75, 188], [66, 219, 235]]",50.0,26.3,"[25.261, 25.973, 26.459, 26.642, 26.236]"
14,66.219.235.215,"[[97, 75, 190], [97, 75, 188], [66, 219, 235]]",50.0,26.4,"[25.25, 31.698, 26.38, 27.099, 26.231]"
15,66.219.235.215,"[[97, 75, 190], [97, 75, 188], [66, 219, 235]]",50.0,26.3,"[25.419, 28.941, 32.377, 28.937, 26.811]"
16,66.219.235.215,"[[97, 75, 190], [97, 75, 188], [66, 219, 235]]",50.0,26.3,"[25.328, 26.723, 26.616, 26.824, 26.33]"
17,66.219.235.215,"[[97, 75, 190], [97, 75, 188], [66, 219, 235]]",50.0,26.7,"[25.02, 29.152, 28.982, 28.979, 28.977]"
18,66.219.235.215,"[[97, 75, 190], [97, 75, 188], [66, 219, 235]]",50.0,26.3,"[24.972, 25.972, 26.289, 26.233, 26.216]"
19,66.219.235.215,"[[97, 75, 190], [97, 75, 188], [66, 219, 235]]",50.0,26.3,"[25.617, 26.381, 26.379, 26.726, 26.374]"
20,66.219.235.215,"[[97, 75, 190], [97, 75, 188], [66, 219, 235]]",50.0,26.3,"[25.207, 28.686, 26.478, 26.522, 26.269]"
21,66.219.235.215,"[[97, 75, 190], [97, 75, 188], [66, 219, 235]]",50.0,26.3,"[25.149, 25.886, 26.267, 26.816, 26.26]"
22,66.219.235.215,"[[97, 75, 190], [97, 75, 188], [66, 219, 235]]",50.0,26.3,"[25.19, 25.861, 26.296, 26.978, 26.272]"
23,66.219.235.215,"[[97, 75, 190], [97, 75, 188], [66, 219, 235]]",50.0,26.3,"[25.109, 25.866, 26.373, 26.512, 26.274]"
24,66.219.235.215,"[[97, 75, 190], [97, 75, 188], [66, 219, 235]]",50.0,26.3,"[25.122, 26.047, 26.452, 26.465, 26.257]"
25,66.219.235.215,"[[97, 75, 190], [97, 75, 188], [66, 219, 235]]",50.0,26.4,"[25.27, 26.041, 26.374, 26.655, 26.347]"
26,66.219.235.215,"[[97, 75, 190], [97, 75, 188], [66, 219, 235]]",50.0,26.3,"[24.888, 27.431, 26.267, 26.497, 26.261]"
27,66.219.235.215,"[[97, 75, 190], [97, 75, 188], [66, 219, 235]]",50.0,27.5,"[25.148, 26.143, 26.423, 26.443, 26.285]"
28,66.219.235.215,"[[97, 75, 190], [97, 75, 188], [66, 219, 235]]",50.0,26.3,"[25.014, 25.939, 26.253, 26.484, 26.259]"
29,66.219.235.215,"[[97, 75, 190], [97, 75, 188], [66, 219, 235]]",50.0,26.3,"[25.982, 26.014, 26.499, 26.432, 26.307]"
30,66.219.235.215,"[[97, 75, 190], [97, 75, 188], [66, 219, 235]]",50.0,26.2,"[25.22, 26.631, 26.297, 26.465, 26.203]"
31,66.219.235.215,"[[97, 75, 190], [97, 75, 188], [66, 219, 235]]",50.0,26.4,"[25.117, 28.403, 26.29, 26.571, 26.285]"
32,66.219.235.215,"[[97, 75, 190], [97, 75, 188], [66, 219, 235]]",50.0,26.3,"[25.115, 25.845, 26.323, 26.419, 26.271]"
33,66.219.235.215,"[[97, 75, 190], [97, 75, 188], [66, 219, 235]]",50.0,26.3,"[25.03, 25.842, 26.262, 26.42, 26.207]"
34,66.219.235.215,"[[97, 75, 190], [97, 75, 188], [66, 219, 235]]",50.0,26.3,"[25.374, 25.883, 26.428, 26.436, 26.248]"
35,66.219.235.215,"[[97, 75, 190], [97, 75, 188], [66, 219, 235]]",50.0,26.4,"[26.129, 26.112, 26.332, 26.576, 26.282]"
36,66.219.235.215,"[[97, 75, 190], [97, 75, 188], [66, 219, 235]]",50.0,26.3,"[30.535, 26.172, 26.458, 26.431, 26.275]"
37,66.219.235.215,"[[97, 75, 190], [97, 75, 188], [66, 219, 235]]",50.0,26.5,"[25.108, 25.909, 26.27, 26.919, 26.259]"
38,66.219.235.215,"[[97, 75, 190], [97, 75, 188], [66, 219, 235]]",50.0,26.3,"[25.268, 26.009, 26.617, 26.834, 26.303]"
39,66.219.235.215,"[[97, 75, 190], [97, 75, 188], [66, 219, 235]]",50.0,26.3,"[26.536, 26.248, 26.244, 26.757, 26.233]"
40,66.219.235.215,"[[97, 75, 190], [97, 75, 188], [66, 219, 235]]",50.0,26.3,"[25.299, 26.027, 26.273, 26.386, 26.266]"
41,66.219.235.215,"[[97, 75, 190], [97, 75, 188], [66, 219, 235]]",50.0,26.3,"[25.175, 25.801, 26.253, 27.122, 26.247]"
42,66.219.235.215,"[[97, 75, 190], [97, 75, 188], [66, 219, 235]]",50.0,26.2,"[28.238, 26.332, 26.507, 26.425, 26.29]"
43,66.219.235.215,"[[97, 75, 190], [97, 75, 188], [66, 219, 235]]",50.0,26.3,"[25.053, 25.819, 26.305, 27.025, 26.255]"
44,66.219.235.215,"[[97, 75, 190], [97, 75, 188], [66, 219, 235]]",50.0,26.3,"[25.504, 26.348, 26.292, 26.677, 26.255]"
45,66.219.235.215,"[[97, 75, 190], [97, 75, 188], [66, 219, 235]]",50.0,26.3,"[25.203, 25.908, 27.661, 26.747, 26.306]"
46,66.219.235.215,"[[97, 75, 190], [97, 75, 188], [66, 219, 235]]",50.0,26.4,"[24.952, 25.939, 26.468, 26.473, 26.165]"
47,66.219.235.215,"[[97, 75, 190], [97, 75, 188], [66, 219, 235]]",50.0,26.4,"[25.253, 29.138, 26.31, 26.584, 26.255]"
48,66.219.235.215,"[[97, 75, 190], [97, 75, 188], [66, 219, 235]]",50.0,26.4,"[25.105, 25.865, 26.495, 26.566, 26.313]"
49,66.219.235.215,"[[97, 75, 190], [97, 75, 188], [66, 219, 235]]",50.0,26.4,"[25.03, 26.03, 27.671, 26.508, 26.239]"
50,66.219.235.215,"[[97, 75, 190], [97, 75, 188], [66, 219, 235]]",50.0,26.3,"[24.993, 56.499, 26.387, 27.084, 26.259]"
51,66.219.235.215,"[[97, 75, 190], [97, 75, 188], [66, 219, 235]]",50.0,26.4,"[25.072, 25.792, 26.176, 26.407, 26.219]"
52,66.219.235.215,"[[97, 75, 190], [97, 75, 188], [66, 219, 235]]",50.0,26.3,"[29.519, 26.315, 26.351, 26.481, 26.287]"
53,66.219.235.215,"[[97, 75, 190], [97, 75, 188], [66, 219, 235]]",50.0,26.3,"[25.314, 25.811, 26.277, 26.458, 26.202]"
54,66.219.235.215,"[[97, 75, 190], [97, 75, 188], [66, 219, 235]]",50.0,26.3,"[25.053, 26.23, 45.486, 26.732, 26.274]"
55,66.219.235.215,"[[97, 75, 190], [97, 75, 188], [66, 219, 235]]",50.0,26.4,"[25.052, 25.871, 26.453, 26.848, 26.278]"
56,66.219.235.215,"[[97, 75, 190], [97, 75, 188], [66, 219, 235]]",50.0,26.3,"[25.114, 25.832, 26.329, 26.887, 26.318]"
57,66.219.235.215,"[[97, 75, 190], [97, 75, 188], [66, 219, 235]]",50.0,26.3,"[25.381, 25.926, 26.298, 26.531, 26.292]"
58,66.219.235.215,"[[97, 75, 190], [97, 75, 188], [66, 219, 235]]",50.0,26.4,"[25.162, 25.891, 26.488, 26.5, 26.34]"
59,66.219.235.215,"[[97, 75, 190], [97, 75, 188], [66, 219, 235]]",50.0,26.3,"[25.392, 25.825, 26.447, 26.52, 26.25]"
60,66.219.235.215,"[[97, 75, 190], [97, 75, 188], [66, 219, 235]]",50.0,26.3,"[25.252, 25.937, 26.398, 26.811, 26.363]"
61,66.219.235.215,"[[97, 75, 190], [97, 75, 188], [66, 219, 235]]",50.0,26.4,"[25.097, 25.95, 26.24, 26.791, 26.25]"
62,66.219.235.215,"[[97, 75, 190], [97, 75, 188], [66, 219, 235]]",50.0,26.3,"[25.809, 25.88, 26.526, 26.77, 26.324]"
63,66.219.235.215,"[[97, 75, 190], [97, 75, 188], [66, 219, 235]]",50.0,26.4,"[28.038, 28.068, 28.033, 28.062, 28.027]"
64,66.219.235.215,"[[97, 75, 190], [97, 75, 188], [66, 219, 235]]",50.0,26.4,"[25.228, 27.129, 26.423, 26.434, 26.285]"
65,66.219.235.215,"[[97, 75, 190], [97, 75, 188], [66, 219, 235]]",50.0,26.3,"[25.282, 27.104, 26.291, 27.313, 26.241]"
66,66.219.235.215,"[[97, 75, 190], [97, 75, 188], [66, 219, 235]]",50.0,26.3,"[25.097, 25.86, 26.439, 26.521, 26.235]"
67,66.219.235.215,"[[97, 75, 190], [97, 75, 188], [66, 219, 235]]",50.0,26.2,"[25.059, 26.212, 26.253, 26.848, 26.221]"
68,66.219.235.215,"[[97, 75, 190], [97, 75, 188], [66, 219, 235]]",50.0,26.3,"[25.114, 25.856, 26.613, 27.0, 26.272]"
69,66.219.235.215,"[[97, 75, 190], [97, 75, 188], [66, 219, 235]]",50.0,26.3,"[25.098, 25.985, 26.349, 26.863, 26.306]"
70,66.219.235.215,"[[97, 75, 190], [97, 75, 188], [66, 219, 235]]",50.0,26.9,"[25.008, 25.852, 26.329, 26.858, 26.301]"
71,66.219.235.215,"[[97, 75, 190], [97, 75, 188], [66, 219, 235]]",50.0,26.3,"[25.113, 25.946, 26.264, 26.72, 26.237]"
72,66.219.235.215,"[[97, 75, 190], [97, 75, 188], [66, 219, 235]]",50.0,26.3,"[24.926, 25.859, 26.233, 26.457, 26.337]"
73,66.219.235.215,"[[97, 75, 190], [97, 75, 188], [66, 219, 235]]",50.0,26.3,"[24.992, 29.604, 26.444, 26.441, 26.273]"
74,66.219.235.215,"[[97, 75, 190], [97, 75, 188], [66, 219, 235]]",50.0,26.2,"[25.244, 26.065, 26.427, 27.63, 26.2]"
75,66.219.235.215,"[[97, 75, 190], [97, 75, 188], [66, 219, 235]]",50.0,26.2,"[24.985, 25.896, 26.487, 26.916, 26.293]"
76,66.219.235.215,"[[97, 75, 190], [97, 75, 188], [66, 219, 235]]",50.0,26.3,"[25.138, 25.913, 27.249, 26.794, 26.273]"
77,66.219.235.215,"[[97, 75, 190], [97, 75, 188], [66, 219, 235]]",50.0,26.3,"[25.16, 25.982, 26.248, 26.666, 26.235]"
78,66.219.235.215,"[[97, 75, 190], [97, 75, 188], [66, 219, 235]]",50.0,26.3,"[25.041, 26.023, 29.72, 27.22, 26.247]"
79,66.219.235.215,"[[97, 75, 190], [97, 75, 188], [66, 219, 235]]",50.0,26.3,"[25.272, 26.63, 26.325, 26.642, 26.238]"
80,66.219.235.215,"[[97, 75, 190], [97, 75, 188], [66, 219, 235]]",50.0,26.2,"[25.115, 44.675, 26.803, 26.431, 26.245]"
81,66.219.235.215,"[[97, 75, 190], [97, 75, 188], [66, 219, 235]]",50.0,26.4,"[25.186, 58.072, 26.331, 26.67, 26.212]"
82,66.219.235.215,"[[97, 75, 190], [97, 75, 188], [66, 219, 235]]",50.0,26.2,"[28.372, 28.368, 28.363, 28.413, 28.355]"
83,66.219.235.215,"[[97, 75, 190], [97, 75, 188], [66, 219, 235]]",50.0,26.3,"[25.301, 25.945, 26.782, 28.69, 26.276]"
84,66.219.235.215,"[[97, 75, 190], [97, 75, 188], [66, 219, 235]]",50.0,26.3,"[25.067, 26.818, 26.379, 27.921, 26.241]"
85,66.219.235.215,"[[97, 75, 190], [97, 75, 188], [66, 219, 235]]",50.0,26.3,"[25.433, 26.132, 26.685, 27.932, 26.604]"
86,66.219.235.215,"[[97, 75, 190], [97, 75, 188], [66, 219, 235]]",50.0,26.3,"[24.961, 25.957, 26.271, 26.696, 26.24]"
87,66.219.235.215,"[[97, 75, 190], [97, 75, 188], [66, 219, 235]]",50.0,26.3,"[25.18, 25.856, 26.35, 26.755, 26.26]"
88,66.219.235.215,"[[97, 75, 190], [97, 75, 188], [66, 219, 235]]",50.0,26.4,"[25.045, 25.895, 26.307, 26.748, 26.205]"
89,66.219.235.215,"[[97, 75, 190], [97, 75, 188], [66, 219, 235]]",50.0,26.3,"[25.192, 25.97, 27.412, 26.685, 26.288]"
90,66.219.235.215,"[[97, 75, 190], [97, 75, 188], [66, 219, 235]]",50.0,26.3,"[25.209, 25.942, 26.509, 27.132, 26.293]"
91,66.219.235.215,"[[97, 75, 190], [97, 75, 188], [66, 219, 235]]",50.0,26.3,"[24.998, 25.832, 26.275, 26.891, 26.27]"
92,66.219.235.215,"[[97, 75, 190], [97, 75, 188], [66, 219, 235]]",50.0,26.2,"[25.102, 25.808, 26.368, 26.472, 26.285]"
