,IP,Traceroute,TTL,Latency,Delay
42,byu.edu,"[[97, 75, 190], [69, 169, 182], [128, 187, 16]]",239.0,27.4,"[25.997, 26.462, 27.014, 27.529, 44.68]"
43,byu.edu,"[[97, 75, 190], [69, 169, 182], [128, 187, 16]]",239.0,26.9,"[28.677, 28.674, 28.672, 28.669, 27.52]"
44,byu.edu,"[[97, 75, 190], [69, 169, 182], [128, 187, 16]]",239.0,27.0,"[25.209, 32.579, 26.272, 26.828, 26.8]"
45,byu.edu,"[[97, 75, 190], [69, 169, 182], [128, 187, 16]]",239.0,27.4,"[25.36, 25.97, 26.485, 26.943, 26.81]"
46,byu.edu,"[[97, 75, 190], [69, 169, 182], [128, 187, 16]]",239.0,27.5,"[25.811, 26.314, 26.811, 27.369, 27.51]"
47,byu.edu,"[[97, 75, 190], [69, 169, 182], [128, 187, 16]]",239.0,27.3,"[25.287, 25.86, 26.308, 26.636, 26.87]"
48,byu.edu,"[[97, 75, 190], [69, 169, 182], [128, 187, 16]]",239.0,27.5,"[52.278, 26.604, 26.677, 26.754, 27.26]"
49,byu.edu,"[[97, 75, 190], [69, 169, 182], [128, 187, 16]]",239.0,26.9,"[25.715, 26.208, 50.179, 27.118, 27.22]"
50,byu.edu,"[[97, 75, 190], [69, 169, 182], [128, 187, 16]]",239.0,26.9,"[25.194, 26.048, 26.38, 26.816, 26.89]"
51,byu.edu,"[[97, 75, 190], [69, 169, 182], [128, 187, 16]]",239.0,27.2,"[25.252, 25.853, 31.576, 26.969, 26.86]"
52,byu.edu,"[[97, 75, 190], [69, 169, 182], [128, 187, 16]]",239.0,67.2,"[25.529, 27.065, 26.644, 27.252, 27.11]"
53,byu.edu,"[[97, 75, 190], [69, 169, 182], [128, 187, 16]]",239.0,26.9,"[25.435, 26.206, 26.77, 26.891, 27.38]"
54,byu.edu,"[[97, 75, 190], [69, 169, 182], [128, 187, 16]]",239.0,27.1,"[25.356, 26.028, 26.249, 26.695, 26.88]"
55,byu.edu,"[[97, 75, 190], [69, 169, 182], [128, 187, 16]]",239.0,27.3,"[25.478, 25.923, 26.419, 26.777, 26.85]"
56,byu.edu,"[[97, 75, 190], [76, 8, 208], [128, 187, 16]]",238.0,28.6,"[26.24, 26.697, 26.951, 28.712, 28.68]"
