,IP,Traceroute,TTL,Latency,Delay
41,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,119.0,"[2.702, 1.327, 44.189, 44.244, 117.742]"
42,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,120.0,"[1.0, 1.479, 44.283, 44.325, 119.12]"
43,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,120.0,"[0.977, 1.494, 44.251, 44.295, 119.226]"
44,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,118.0,"[0.977, 1.246, 44.258, 44.254, 118.214]"
45,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,118.0,"[0.843, 1.41, 44.163, 44.192, 118.035]"
46,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,119.0,"[1.087, 1.528, 44.194, 44.236, 119.458]"
47,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,118.0,"[1.085, 1.224, 44.095, 44.166, 118.436]"
48,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,119.0,"[0.892, 1.436, 44.284, 44.281, 118.187]"
49,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,119.0,"[1.562, 1.293, 44.218, 44.261, 118.861]"
50,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,118.0,"[19.515, 1.29, 60.933, 44.316, 117.785]"
51,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,119.0,"[2.32, 1.205, 44.247, 44.397, 119.992]"
52,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,119.0,"[2.028, 1.443, 44.122, 44.256, 119.228]"
53,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,118.0,"[1.012, 1.338, 44.269, 44.35, 119.131]"
54,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,117.0,"[1.846, 40.035, 44.231, 44.274, 118.59]"
55,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,119.0,"[0.966, 1.698, 44.116, 44.151, 118.877]"
56,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,119.0,"[0.888, 1.31, 44.119, 44.171, 118.825]"
57,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,118.0,"[0.846, 1.548, 44.221, 44.259, 118.484]"
58,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,119.0,"[11.865, 1.253, 44.195, 44.226, 118.902]"
59,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,117.0,"[1.048, 1.84, 76.052, 44.369, 118.754]"
60,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,119.0,"[0.893, 1.496, 44.25, 44.274, 118.544]"
61,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,119.0,"[0.878, 1.344, 44.325, 44.274, 118.096]"
62,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,118.0,"[23.075, 1.368, 74.278, 44.255, 117.642]"
63,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,119.0,"[14.249, 1.484, 44.272, 44.315, 118.112]"
64,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,119.0,"[0.963, 1.359, 66.918, 44.244, 119.49]"
65,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,119.0,"[0.951, 9.751, 44.291, 44.328, 118.989]"
66,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,119.0,"[16.179, 28.396, 44.276, 44.313, 119.244]"
67,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,121.0,"[0.919, 1.333, 44.249, 44.289, 119.091]"
68,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,119.0,"[3.225, 1.561, 44.194, 44.329, 118.737]"
69,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,119.0,"[0.936, 1.458, 44.319, 44.244, 118.257]"
70,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,119.0,"[1.027, 1.48, 44.324, 44.389, 119.677]"
71,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,119.0,"[1.054, 25.956, 74.408, 44.341, 118.591]"
72,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,118.0,"[0.838, 1.438, 44.373, 44.371, 118.758]"
73,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,118.0,"[0.884, 32.064, 44.224, 44.284, 119.546]"
74,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,118.0,"[1.043, 1.576, 44.247, 44.245, 119.352]"
75,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,119.0,"[1.032, 1.249, 44.36, 44.397, 118.276]"
76,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,119.0,"[0.884, 1.347, 44.09, 44.14, 118.497]"
