,Traceroute,TTL,Latency,Delay
0,"[[97, 75, 191, 50], [97, 75, 190, 196], [97, 75, 190, 192], [97, 75, 188, 217], [66, 219, 235, 215]]",50.0,26.4,"[26.022, 26.251, 26.264, 26.563, 26.358]"
1,"[[97, 75, 191, 50], [97, 75, 190, 196], [97, 75, 190, 192], [97, 75, 188, 217], [66, 219, 235, 215]]",50.0,26.3,"[27.631, 26.251, 26.346, 26.624, 26.224]"
2,"[[97, 75, 191, 50], [97, 75, 190, 196], [97, 75, 190, 192], [97, 75, 188, 217], [66, 219, 235, 215]]",50.0,26.3,"[25.038, 26.114, 26.351, 26.684, 26.305]"
3,"[[97, 75, 191, 50], [97, 75, 190, 196], [97, 75, 190, 192], [97, 75, 188, 217], [66, 219, 235, 215]]",50.0,26.3,"[37.128, 26.13, 26.448, 26.613, 26.196]"
4,"[[97, 75, 191, 50], [97, 75, 190, 196], [97, 75, 190, 192], [97, 75, 188, 217], [66, 219, 235, 215]]",50.0,26.4,"[25.018, 25.967, 26.307, 26.781, 26.227]"
5,"[[97, 75, 191, 50], [97, 75, 190, 196], [97, 75, 190, 192], [97, 75, 188, 217], [66, 219, 235, 215]]",50.0,26.3,"[25.157, 25.852, 26.335, 26.747, 26.329]"
6,"[[97, 75, 191, 50], [97, 75, 190, 196], [97, 75, 190, 192], [97, 75, 188, 217], [66, 219, 235, 215]]",50.0,26.4,"[25.323, 25.781, 26.323, 26.871, 26.302]"
7,"[[97, 75, 191, 50], [97, 75, 190, 196], [97, 75, 190, 192], [97, 75, 188, 217], [66, 219, 235, 215]]",50.0,26.3,"[25.086, 25.908, 29.24, 27.921, 26.33]"
8,"[[97, 75, 191, 50], [97, 75, 190, 196], [97, 75, 190, 192], [97, 75, 188, 217], [66, 219, 235, 215]]",50.0,26.3,"[24.992, 26.788, 26.262, 26.682, 26.256]"
9,"[[97, 75, 191, 50], [97, 75, 190, 196], [97, 75, 190, 192], [97, 75, 188, 217], [66, 219, 235, 215]]",50.0,26.4,"[25.051, 25.948, 26.301, 27.728, 26.296]"
10,"[[97, 75, 191, 50], [97, 75, 190, 196], [97, 75, 190, 192], [97, 75, 188, 217], [66, 219, 235, 215]]",50.0,26.3,"[25.027, 25.893, 26.496, 26.598, 26.241]"
11,"[[97, 75, 191, 50], [97, 75, 190, 196], [97, 75, 190, 192], [97, 75, 188, 217], [66, 219, 235, 215]]",50.0,26.3,"[31.187, 26.387, 28.618, 28.613, 26.372]"
12,"[[97, 75, 191, 50], [97, 75, 190, 196], [97, 75, 190, 192], [97, 75, 188, 217], [66, 219, 235, 215]]",50.0,26.3,"[25.365, 26.009, 26.323, 26.58, 26.316]"
13,"[[97, 75, 191, 50], [97, 75, 190, 196], [97, 75, 190, 192], [97, 75, 188, 217], [66, 219, 235, 215]]",50.0,26.3,"[25.261, 25.973, 26.459, 26.642, 26.236]"
14,"[[97, 75, 191, 50], [97, 75, 190, 196], [97, 75, 190, 192], [97, 75, 188, 217], [66, 219, 235, 215]]",50.0,26.4,"[25.25, 31.698, 26.38, 27.099, 26.231]"
15,"[[97, 75, 191, 50], [97, 75, 190, 196], [97, 75, 190, 192], [97, 75, 188, 217], [66, 219, 235, 215]]",50.0,26.3,"[25.419, 28.941, 32.377, 28.937, 26.811]"
16,"[[97, 75, 191, 50], [97, 75, 190, 196], [97, 75, 190, 192], [97, 75, 188, 217], [66, 219, 235, 215]]",50.0,26.3,"[25.328, 26.723, 26.616, 26.824, 26.33]"
17,"[[97, 75, 191, 50], [97, 75, 190, 196], [97, 75, 190, 192], [97, 75, 188, 217], [66, 219, 235, 215]]",50.0,26.7,"[25.02, 29.152, 28.982, 28.979, 28.977]"
18,"[[97, 75, 191, 50], [97, 75, 190, 196], [97, 75, 190, 192], [97, 75, 188, 217], [66, 219, 235, 215]]",50.0,26.3,"[24.972, 25.972, 26.289, 26.233, 26.216]"
19,"[[97, 75, 191, 50], [97, 75, 190, 196], [97, 75, 190, 192], [97, 75, 188, 217], [66, 219, 235, 215]]",50.0,26.3,"[25.617, 26.381, 26.379, 26.726, 26.374]"
20,"[[97, 75, 191, 50], [97, 75, 190, 196], [97, 75, 190, 192], [97, 75, 188, 217], [66, 219, 235, 215]]",50.0,26.3,"[25.207, 28.686, 26.478, 26.522, 26.269]"
21,"[[97, 75, 191, 50], [97, 75, 190, 196], [97, 75, 190, 192], [97, 75, 188, 217], [66, 219, 235, 215]]",50.0,26.3,"[25.149, 25.886, 26.267, 26.816, 26.26]"
22,"[[97, 75, 191, 50], [97, 75, 190, 196], [97, 75, 190, 192], [97, 75, 188, 217], [66, 219, 235, 215]]",50.0,26.3,"[25.19, 25.861, 26.296, 26.978, 26.272]"
23,"[[97, 75, 191, 50], [97, 75, 190, 196], [97, 75, 190, 192], [97, 75, 188, 217], [66, 219, 235, 215]]",50.0,26.3,"[25.109, 25.866, 26.373, 26.512, 26.274]"
24,"[[97, 75, 191, 50], [97, 75, 190, 196], [97, 75, 190, 192], [97, 75, 188, 217], [66, 219, 235, 215]]",50.0,26.3,"[25.122, 26.047, 26.452, 26.465, 26.257]"
25,"[[97, 75, 191, 50], [97, 75, 190, 196], [97, 75, 190, 192], [97, 75, 188, 217], [66, 219, 235, 215]]",50.0,26.4,"[25.27, 26.041, 26.374, 26.655, 26.347]"
26,"[[97, 75, 191, 50], [97, 75, 190, 196], [97, 75, 190, 192], [97, 75, 188, 217], [66, 219, 235, 215]]",50.0,26.3,"[24.888, 27.431, 26.267, 26.497, 26.261]"
27,"[[97, 75, 191, 50], [97, 75, 190, 196], [97, 75, 190, 192], [97, 75, 188, 217], [66, 219, 235, 215]]",50.0,27.5,"[25.148, 26.143, 26.423, 26.443, 26.285]"
28,"[[97, 75, 191, 50], [97, 75, 190, 196], [97, 75, 190, 192], [97, 75, 188, 217], [66, 219, 235, 215]]",50.0,26.3,"[25.014, 25.939, 26.253, 26.484, 26.259]"
29,"[[97, 75, 191, 50], [97, 75, 190, 196], [97, 75, 190, 192], [97, 75, 188, 217], [66, 219, 235, 215]]",50.0,26.3,"[25.982, 26.014, 26.499, 26.432, 26.307]"
30,"[[97, 75, 191, 50], [97, 75, 190, 196], [97, 75, 190, 192], [97, 75, 188, 217], [66, 219, 235, 215]]",50.0,26.2,"[25.22, 26.631, 26.297, 26.465, 26.203]"
31,"[[97, 75, 191, 50], [97, 75, 190, 196], [97, 75, 190, 192], [97, 75, 188, 217], [66, 219, 235, 215]]",50.0,26.4,"[25.117, 28.403, 26.29, 26.571, 26.285]"
32,"[[97, 75, 191, 50], [97, 75, 190, 196], [97, 75, 190, 192], [97, 75, 188, 217], [66, 219, 235, 215]]",50.0,26.3,"[25.115, 25.845, 26.323, 26.419, 26.271]"
33,"[[97, 75, 191, 50], [97, 75, 190, 196], [97, 75, 190, 192], [97, 75, 188, 217], [66, 219, 235, 215]]",50.0,26.3,"[25.03, 25.842, 26.262, 26.42, 26.207]"
34,"[[97, 75, 191, 50], [97, 75, 190, 196], [97, 75, 190, 192], [97, 75, 188, 217], [66, 219, 235, 215]]",50.0,26.3,"[25.374, 25.883, 26.428, 26.436, 26.248]"
35,"[[97, 75, 191, 50], [97, 75, 190, 196], [97, 75, 190, 192], [97, 75, 188, 217], [66, 219, 235, 215]]",50.0,26.4,"[26.129, 26.112, 26.332, 26.576, 26.282]"
36,"[[97, 75, 191, 50], [97, 75, 190, 196], [97, 75, 190, 192], [97, 75, 188, 217], [66, 219, 235, 215]]",50.0,26.3,"[30.535, 26.172, 26.458, 26.431, 26.275]"
37,"[[97, 75, 191, 50], [97, 75, 190, 196], [97, 75, 190, 192], [97, 75, 188, 217], [66, 219, 235, 215]]",50.0,26.5,"[25.108, 25.909, 26.27, 26.919, 26.259]"
38,"[[97, 75, 191, 50], [97, 75, 190, 196], [97, 75, 190, 192], [97, 75, 188, 217], [66, 219, 235, 215]]",50.0,26.3,"[25.268, 26.009, 26.617, 26.834, 26.303]"
39,"[[97, 75, 191, 50], [97, 75, 190, 196], [97, 75, 190, 192], [97, 75, 188, 217], [66, 219, 235, 215]]",50.0,26.3,"[26.536, 26.248, 26.244, 26.757, 26.233]"
40,"[[97, 75, 191, 50], [97, 75, 190, 196], [97, 75, 190, 192], [97, 75, 188, 217], [66, 219, 235, 215]]",50.0,26.3,"[25.299, 26.027, 26.273, 26.386, 26.266]"
41,"[[97, 75, 191, 50], [97, 75, 190, 196], [97, 75, 190, 192], [97, 75, 188, 217], [66, 219, 235, 215]]",50.0,26.3,"[25.175, 25.801, 26.253, 27.122, 26.247]"
