,Traceroute,TTL,Latency,Delay
0,"[[4, 7, 18, 9], [4, 69, 219, 206], [4, 68, 63, 134], [184, 99, 65, 114], [75, 174, 31, 10]]",58.0,35.7,"[1.243, 17.31, 31.894, 26.885, 36.15]"
1,"[[4, 71, 117, 217], [4, 69, 219, 206], [4, 68, 63, 134], [184, 99, 65, 114], [75, 174, 31, 10]]",58.0,36.2,"[0.579, 16.983, 42.806, 27.228, 35.93]"
2,"[[4, 71, 117, 217], [4, 69, 219, 206], [4, 68, 63, 134], [184, 99, 65, 114], [75, 174, 31, 10]]",58.0,35.4,"[0.736, 18.034, 37.11, 26.778, 36.61]"
3,"[[4, 71, 117, 217], [4, 69, 219, 206], [4, 68, 63, 134], [184, 99, 65, 114], [75, 174, 31, 10]]",58.0,35.9,"[0.645, 18.133, 26.735, 26.733, 36.67]"
4,"[[4, 71, 117, 217], [4, 69, 219, 206], [4, 68, 63, 134], [184, 99, 65, 114], [75, 174, 31, 10]]",58.0,36.2,"[0.78, 28.186, 26.433, 26.624, 36.22]"
5,"[[4, 7, 18, 9], [4, 69, 219, 206], [4, 68, 63, 134], [184, 99, 65, 114], [75, 174, 31, 10]]",58.0,35.7,"[0.767, 17.172, 26.729, 26.794, 36.29]"
6,"[[4, 7, 18, 9], [4, 69, 219, 206], [4, 68, 63, 134], [184, 99, 65, 114], [75, 174, 31, 10]]",58.0,36.5,"[0.586, 17.651, 26.757, 27.629, 36.51]"
7,"[[4, 71, 117, 217], [4, 69, 219, 206], [4, 68, 63, 134], [184, 99, 65, 114], [75, 174, 31, 10]]",58.0,35.8,"[5.508, 17.213, 26.468, 26.81, 35.56]"
8,"[[4, 71, 117, 217], [4, 69, 219, 206], [4, 68, 63, 134], [184, 99, 65, 114], [75, 174, 31, 10]]",58.0,36.2,"[0.596, 20.982, 26.477, 27.619, 37.54]"
9,"[[4, 7, 18, 9], [4, 69, 219, 206], [4, 68, 63, 134], [184, 99, 65, 114], [75, 174, 31, 10]]",58.0,36.5,"[0.593, 21.399, 27.245, 26.671, 36.25]"
10,"[[4, 7, 18, 9], [4, 69, 219, 206], [4, 68, 63, 134], [184, 99, 65, 114], [75, 174, 31, 10]]",58.0,35.5,"[0.438, 17.796, 26.894, 26.819, 35.85]"
11,"[[4, 71, 117, 217], [4, 69, 219, 206], [4, 68, 63, 134], [184, 99, 65, 114], [75, 174, 31, 10]]",58.0,35.2,"[0.841, 29.023, 26.587, 26.998, 36.43]"
12,"[[4, 71, 117, 217], [4, 69, 219, 206], [4, 68, 63, 134], [184, 99, 65, 114], [75, 174, 31, 10]]",58.0,35.8,"[0.731, 17.082, 26.427, 26.805, 36.06]"
13,"[[4, 7, 18, 9], [4, 69, 219, 206], [4, 68, 63, 134], [184, 99, 65, 114], [75, 174, 31, 10]]",58.0,35.3,"[11.372, 18.328, 26.508, 26.601, 36.18]"
14,"[[4, 7, 18, 9], [4, 69, 219, 206], [4, 68, 63, 134], [184, 99, 65, 114], [75, 174, 31, 10]]",58.0,36.0,"[0.763, 17.384, 26.661, 45.929, 36.39]"
15,"[[4, 71, 117, 217], [4, 69, 219, 206], [4, 68, 63, 134], [184, 99, 65, 114], [75, 174, 31, 10]]",58.0,36.2,"[6.985, 17.123, 26.679, 26.884, 36.25]"
16,"[[4, 71, 117, 217], [4, 69, 219, 206], [4, 68, 63, 134], [184, 99, 65, 114], [75, 174, 31, 10]]",58.0,35.9,"[1.915, 17.138, 26.458, 26.939, 36.42]"
17,"[[4, 7, 18, 9], [4, 69, 219, 206], [4, 68, 63, 134], [184, 99, 65, 114], [75, 174, 31, 10]]",58.0,36.1,"[0.615, 17.183, 26.601, 26.87, 36.21]"
18,"[[4, 7, 18, 9], [4, 69, 219, 206], [4, 68, 63, 134], [184, 99, 65, 114], [75, 174, 31, 10]]",58.0,35.7,"[0.485, 17.915, 26.516, 26.709, 35.94]"
19,"[[4, 71, 117, 217], [4, 69, 219, 206], [4, 68, 63, 134], [184, 99, 65, 114], [75, 174, 31, 10]]",58.0,35.9,"[3.139, 20.411, 26.779, 27.208, 36.57]"
20,"[[4, 7, 18, 9], [4, 69, 219, 206], [4, 68, 63, 134], [184, 99, 65, 114], [75, 174, 31, 10]]",58.0,36.0,"[2.023, 17.353, 26.5, 27.007, 35.88]"
21,"[[4, 71, 117, 217], [4, 69, 219, 206], [4, 68, 63, 134], [184, 99, 65, 114], [75, 174, 31, 10]]",58.0,36.1,"[3.142, 17.077, 28.373, 30.301, 36.32]"
22,"[[4, 71, 117, 217], [4, 69, 219, 206], [4, 68, 63, 134], [184, 99, 65, 114], [75, 174, 31, 10]]",58.0,36.2,"[0.545, 16.931, 26.426, 26.578, 36.41]"
23,"[[4, 7, 18, 9], [4, 69, 219, 206], [4, 68, 63, 134], [184, 99, 65, 114], [75, 174, 31, 10]]",58.0,35.9,"[0.66, 23.411, 26.535, 26.85, 35.93]"
24,"[[4, 7, 18, 9], [4, 69, 219, 206], [4, 68, 63, 134], [184, 99, 65, 114], [75, 174, 31, 10]]",58.0,36.1,"[0.724, 17.088, 26.448, 26.643, 36.05]"
25,"[[4, 71, 117, 217], [4, 69, 219, 206], [4, 68, 63, 134], [184, 99, 65, 114], [75, 174, 31, 10]]",58.0,36.5,"[1.996, 23.347, 26.492, 30.626, 36.08]"
26,"[[4, 71, 117, 217], [4, 69, 219, 206], [4, 68, 63, 134], [184, 99, 65, 114], [75, 174, 31, 10]]",58.0,36.3,"[23.498, 17.159, 26.712, 26.887, 36.2]"
27,"[[4, 7, 18, 9], [4, 69, 219, 206], [4, 68, 63, 134], [184, 99, 65, 114], [75, 174, 31, 10]]",58.0,36.2,"[0.445, 17.195, 28.736, 28.382, 35.93]"
28,"[[4, 7, 18, 9], [4, 69, 219, 206], [4, 68, 63, 134], [184, 99, 65, 114], [75, 174, 31, 10]]",58.0,36.2,"[5.471, 34.271, 26.809, 26.89, 36.13]"
29,"[[4, 71, 117, 217], [4, 69, 219, 206], [4, 68, 63, 134], [184, 99, 65, 114], [75, 174, 31, 10]]",58.0,36.3,"[5.459, 18.348, 27.058, 26.86, 36.19]"
30,"[[4, 71, 117, 217], [4, 69, 219, 206], [4, 68, 63, 134], [184, 99, 65, 114], [75, 174, 31, 10]]",58.0,36.4,"[4.559, 17.753, 26.714, 26.71, 36.5]"
31,"[[4, 7, 18, 9], [4, 69, 219, 206], [4, 68, 63, 134], [184, 99, 65, 114], [75, 174, 31, 10]]",58.0,35.4,"[0.673, 17.149, 26.574, 26.717, 36.25]"
32,"[[4, 7, 18, 9], [4, 69, 219, 206], [4, 68, 63, 134], [184, 99, 65, 114], [75, 174, 31, 10]]",58.0,35.9,"[0.407, 18.273, 26.368, 26.885, 36.01]"
33,"[[10, 88, 3, 216], [4, 69, 219, 206], [4, 68, 63, 134], [184, 99, 65, 114], [75, 174, 31, 10]]",58.0,36.4,"[0.693, 17.235, 26.562, 42.054, 36.41]"
34,"[[4, 71, 117, 217], [4, 69, 219, 206], [4, 68, 63, 134], [184, 99, 65, 114], [75, 174, 31, 10]]",58.0,36.0,"[0.57, 17.014, 26.88, 26.676, 36.14]"
35,"[[4, 7, 18, 9], [4, 69, 219, 206], [4, 68, 63, 134], [184, 99, 65, 114], [75, 174, 31, 10]]",58.0,36.4,"[1.657, 17.317, 26.535, 26.64, 36.14]"
36,"[[10, 88, 3, 230], [4, 69, 219, 206], [4, 68, 63, 134], [184, 99, 65, 114], [75, 174, 31, 10]]",58.0,36.3,"[0.55, 36.924, 26.449, 27.03, 36.21]"
37,"[[4, 71, 117, 217], [4, 69, 219, 206], [4, 68, 63, 134], [184, 99, 65, 114], [75, 174, 31, 10]]",58.0,36.2,"[4.371, 17.804, 26.463, 28.243, 36.36]"
