,Traceroute,TTL,Latency,Delay
0,"[[4, 71, 117, 217], [4, 69, 219, 54], [4, 68, 38, 162], [207, 108, 177, 162], [97, 117, 140, 9]]",58.0,29.8,"[1.625, 26.528, 22.966, 22.861, 29.19]"
1,"[[4, 7, 18, 9], [4, 69, 219, 54], [4, 68, 38, 162], [207, 108, 177, 162], [97, 117, 140, 9]]",58.0,28.8,"[0.895, 22.689, 22.793, 22.945, 28.76]"
2,"[[4, 7, 18, 9], [4, 69, 219, 54], [4, 68, 38, 162], [207, 108, 177, 162], [97, 117, 140, 9]]",58.0,29.9,"[5.423, 22.393, 22.919, 22.745, 28.93]"
3,"[[4, 7, 18, 9], [4, 69, 219, 54], [4, 68, 38, 162], [207, 108, 177, 162], [97, 117, 140, 9]]",58.0,29.0,"[0.836, 22.32, 23.01, 22.883, 29.64]"
4,"[[4, 7, 18, 9], [4, 69, 219, 54], [4, 68, 38, 162], [207, 108, 177, 162], [97, 117, 140, 9]]",58.0,29.4,"[0.865, 22.323, 22.76, 22.854, 29.43]"
5,"[[4, 71, 117, 217], [4, 69, 219, 54], [4, 68, 38, 162], [207, 108, 177, 162], [97, 117, 140, 9]]",58.0,29.4,"[0.856, 22.347, 22.787, 22.899, 29.78]"
6,"[[4, 71, 117, 217], [4, 69, 219, 54], [4, 68, 38, 162], [207, 108, 177, 162], [97, 117, 140, 9]]",58.0,29.7,"[1.107, 25.243, 23.098, 22.899, 30.54]"
7,"[[4, 7, 18, 9], [4, 69, 219, 54], [4, 68, 38, 162], [207, 108, 177, 162], [97, 117, 140, 9]]",58.0,29.9,"[6.8, 23.116, 22.835, 22.923, 29.26]"
8,"[[4, 7, 18, 9], [4, 69, 219, 54], [4, 68, 38, 162], [207, 108, 177, 162], [97, 117, 140, 9]]",58.0,28.9,"[4.611, 28.44, 50.909, 23.482, 29.7]"
9,"[[4, 71, 117, 217], [4, 69, 219, 54], [4, 68, 38, 162], [207, 108, 177, 162], [97, 117, 140, 9]]",58.0,30.0,"[1.085, 22.719, 23.004, 22.899, 29.32]"
10,"[[4, 71, 117, 217], [4, 69, 219, 54], [4, 68, 38, 162], [207, 108, 177, 162], [97, 117, 140, 9]]",58.0,32.3,"[0.985, 22.426, 22.943, 22.821, 29.42]"
11,"[[4, 7, 18, 9], [4, 69, 219, 54], [4, 68, 38, 162], [207, 108, 177, 162], [97, 117, 140, 9]]",58.0,31.3,"[1.158, 22.253, 22.794, 22.88, 55.0]"
12,"[[4, 7, 18, 9], [4, 69, 219, 54], [4, 68, 38, 162], [207, 108, 177, 162], [97, 117, 140, 9]]",58.0,29.4,"[0.977, 22.381, 22.8, 22.869, 29.92]"
13,"[[4, 71, 117, 217], [4, 69, 219, 54], [4, 68, 38, 162], [207, 108, 177, 162], [97, 117, 140, 9]]",58.0,29.7,"[0.855, 22.271, 23.577, 22.791, 30.94]"
14,"[[10, 88, 3, 218], [4, 69, 219, 54], [4, 68, 38, 162], [207, 108, 177, 162], [97, 117, 140, 9]]",58.0,29.8,"[0.819, 23.452, 22.85, 38.48, 29.97]"
15,"[[4, 7, 18, 9], [4, 69, 219, 54], [4, 68, 38, 162], [207, 108, 177, 162], [97, 117, 140, 9]]",58.0,29.2,"[0.949, 24.103, 23.046, 22.996, 29.44]"
16,"[[4, 7, 18, 9], [4, 69, 219, 54], [4, 68, 38, 162], [207, 108, 177, 162], [97, 117, 140, 9]]",58.0,29.1,"[1.285, 22.424, 22.988, 22.86, 29.33]"
17,"[[4, 71, 117, 217], [4, 69, 219, 54], [4, 68, 38, 162], [207, 108, 177, 162], [97, 117, 140, 9]]",58.0,30.1,"[1.119, 35.205, 23.0, 37.916, 30.54]"
18,"[[4, 71, 117, 217], [4, 69, 219, 54], [4, 68, 38, 162], [207, 108, 177, 162], [97, 117, 140, 9]]",58.0,28.9,"[1.136, 25.844, 31.58, 22.808, 30.42]"
19,"[[4, 7, 18, 9], [4, 69, 219, 54], [4, 68, 38, 162], [207, 108, 177, 162], [97, 117, 140, 9]]",58.0,29.8,"[0.968, 22.612, 24.276, 22.972, 34.43]"
20,"[[4, 71, 117, 217], [4, 69, 219, 54], [4, 68, 38, 162], [207, 108, 177, 162], [97, 117, 140, 9]]",58.0,30.0,"[1.064, 33.455, 23.181, 22.728, 29.42]"
21,"[[4, 7, 18, 9], [4, 69, 219, 54], [4, 68, 38, 162], [207, 108, 177, 162], [97, 117, 140, 9]]",58.0,29.6,"[1.033, 25.896, 22.795, 22.874, 30.17]"
22,"[[4, 7, 18, 9], [4, 69, 219, 54], [4, 68, 38, 162], [207, 108, 177, 162], [97, 117, 140, 9]]",58.0,29.3,"[1.164, 22.696, 23.013, 22.79, 29.57]"
23,"[[4, 71, 117, 217], [4, 69, 219, 54], [4, 68, 38, 162], [207, 108, 177, 162], [97, 117, 140, 9]]",58.0,29.6,"[5.898, 22.353, 22.781, 22.922, 28.96]"
24,"[[4, 71, 117, 217], [4, 69, 219, 54], [4, 68, 38, 162], [207, 108, 177, 162], [97, 117, 140, 9]]",58.0,28.9,"[12.419, 22.241, 22.849, 22.755, 30.41]"
25,"[[10, 88, 3, 228], [4, 69, 219, 54], [4, 68, 38, 162], [207, 108, 177, 162], [97, 117, 140, 9]]",58.0,30.2,"[0.764, 25.939, 23.068, 23.128, 30.26]"
26,"[[4, 7, 18, 9], [4, 69, 219, 54], [4, 68, 38, 162], [207, 108, 177, 162], [97, 117, 140, 9]]",58.0,30.3,"[19.131, 22.366, 22.965, 22.859, 29.77]"
27,"[[10, 88, 3, 218], [4, 69, 219, 54], [4, 68, 38, 162], [207, 108, 177, 162], [97, 117, 140, 9]]",58.0,30.4,"[3.044, 22.843, 22.749, 22.988, 29.61]"
28,"[[4, 71, 117, 217], [4, 69, 219, 54], [4, 68, 38, 162], [207, 108, 177, 162], [97, 117, 140, 9]]",58.0,31.1,"[1.29, 25.096, 22.894, 22.836, 33.88]"
29,"[[10, 88, 3, 228], [4, 69, 219, 54], [4, 68, 38, 162], [207, 108, 177, 162], [97, 117, 140, 9]]",58.0,29.1,"[0.836, 23.051, 22.949, 22.843, 29.92]"
30,"[[10, 88, 3, 228], [4, 69, 219, 54], [4, 68, 38, 162], [207, 108, 177, 162], [97, 117, 140, 9]]",58.0,30.0,"[0.928, 22.525, 22.663, 22.821, 29.1]"
31,"[[4, 71, 117, 217], [4, 69, 219, 54], [4, 68, 38, 162], [207, 108, 177, 162], [97, 117, 140, 9]]",58.0,29.8,"[2.688, 22.454, 22.878, 24.508, 29.23]"
32,"[[4, 71, 117, 217], [4, 69, 219, 54], [4, 68, 38, 162], [207, 108, 177, 162], [97, 117, 140, 9]]",58.0,29.2,"[1.269, 26.64, 23.051, 22.991, 29.2]"
33,"[[4, 7, 18, 9], [4, 69, 219, 54], [4, 68, 38, 162], [207, 108, 177, 162], [97, 117, 140, 9]]",58.0,29.1,"[1.148, 23.016, 22.939, 23.64, 29.82]"
34,"[[4, 7, 18, 9], [4, 69, 219, 54], [4, 68, 38, 162], [207, 108, 177, 162], [97, 117, 140, 9]]",58.0,29.1,"[9.171, 22.463, 22.665, 22.87, 29.79]"
35,"[[10, 88, 3, 218], [4, 69, 219, 54], [4, 68, 38, 162], [207, 108, 177, 162], [97, 117, 140, 9]]",58.0,29.7,"[0.874, 23.139, 22.865, 22.956, 30.39]"
36,"[[4, 71, 117, 217], [4, 69, 219, 54], [4, 68, 38, 162], [207, 108, 177, 162], [97, 117, 140, 9]]",58.0,28.9,"[1.134, 23.147, 23.916, 22.796, 29.8]"
37,"[[10, 88, 3, 228], [4, 69, 219, 54], [4, 68, 38, 162], [207, 108, 177, 162], [97, 117, 140, 9]]",58.0,29.9,"[0.741, 23.519, 22.733, 22.684, 30.11]"
38,"[[4, 7, 18, 9], [4, 69, 219, 54], [4, 68, 38, 162], [207, 108, 177, 162], [97, 117, 140, 9]]",58.0,29.1,"[0.771, 22.458, 22.633, 23.385, 29.13]"
39,"[[4, 71, 117, 217], [4, 69, 219, 54], [4, 68, 38, 162], [207, 108, 177, 162], [97, 117, 140, 9]]",58.0,30.0,"[1.086, 22.232, 22.797, 22.96, 30.74]"
