,IP,Traceroute,TTL,Latency,Delay
0,136.36.62.167,"[[184, 105, 80], [184, 105, 80], [216, 218, 245], [192, 119, 17], [136, 36, 62]]",56.0,23.0,"[19.75, 19.512, 19.509, 20.698, 28.82]"
1,136.36.62.167,"[[184, 105, 80], [184, 105, 80], [216, 218, 245], [192, 119, 17], [136, 36, 62]]",56.0,22.9,"[19.955, 19.237, 19.233, 20.709, 28.24]"
2,136.36.62.167,"[[184, 105, 80], [184, 105, 80], [216, 218, 245], [192, 119, 17], [136, 36, 62]]",56.0,22.2,"[24.763, 19.248, 19.214, 20.713, 27.81]"
3,136.36.62.167,"[[184, 105, 80], [184, 105, 80], [216, 218, 245], [192, 119, 17], [136, 36, 62]]",56.0,31.0,"[19.644, 19.326, 19.246, 20.655, 28.84]"
4,136.36.62.167,"[[184, 105, 80], [184, 105, 80], [216, 218, 245], [192, 119, 17], [136, 36, 62]]",56.0,21.0,"[19.862, 19.418, 19.214, 20.895, 28.33]"
5,136.36.62.167,"[[184, 105, 80], [184, 105, 80], [216, 218, 245], [192, 119, 17], [136, 36, 62]]",56.0,27.0,"[20.444, 19.333, 19.33, 21.229, 28.76]"
6,136.36.62.167,"[[184, 105, 80], [184, 105, 80], [216, 218, 245], [192, 119, 17], [136, 36, 62]]",56.0,28.9,"[19.978, 19.449, 19.768, 20.872, 28.77]"
7,136.36.62.167,"[[184, 104, 192], [184, 105, 80], [216, 218, 245], [192, 119, 17], [136, 36, 62]]",56.0,22.8,"[1.605, 19.432, 19.208, 20.762, 20.75]"
8,136.36.62.167,"[[184, 105, 80], [184, 105, 80], [216, 218, 245], [192, 119, 17], [136, 36, 62]]",56.0,22.8,"[20.061, 19.322, 19.319, 20.683, 28.68]"
9,136.36.62.167,"[[184, 105, 80], [184, 105, 80], [216, 218, 245], [192, 119, 17], [136, 36, 62]]",56.0,22.5,"[19.718, 19.271, 19.268, 20.71, 28.21]"
10,136.36.62.167,"[[184, 105, 80], [184, 105, 80], [216, 218, 245], [192, 119, 17], [136, 36, 62]]",56.0,28.7,"[19.802, 19.425, 19.17, 21.752, 28.43]"
11,136.36.62.167,"[[184, 105, 80], [184, 105, 80], [216, 218, 245], [192, 119, 17], [136, 36, 62]]",56.0,20.9,"[19.858, 19.417, 19.384, 20.888, 28.17]"
12,136.36.62.167,"[[184, 105, 80], [184, 105, 80], [216, 218, 245], [192, 119, 17], [136, 36, 62]]",56.0,21.6,"[19.898, 19.327, 21.294, 20.867, 28.59]"
13,136.36.62.167,"[[184, 105, 80], [184, 105, 80], [216, 218, 245], [192, 119, 17], [136, 36, 62]]",56.0,21.8,"[19.802, 19.329, 22.699, 20.876, 28.6]"
14,136.36.62.167,"[[184, 105, 80], [184, 105, 80], [216, 218, 245], [192, 119, 17], [136, 36, 62]]",56.0,23.7,"[19.629, 19.277, 19.273, 20.642, 28.47]"
