,Traceroute,TTL,Latency,Delay
0,"[[97, 75, 191, 50], [97, 75, 190, 196], [97, 75, 190, 192], [97, 75, 188, 217], [66, 219, 235, 72]]",-1.0,-1.0,"[25.107, 25.978, 26.219, 30.739, 26.495]"
1,"[[97, 75, 191, 50], [97, 75, 190, 196], [97, 75, 190, 192], [97, 75, 188, 217], [66, 219, 235, 72]]",-1.0,-1.0,"[25.371, 26.14, 26.344, 26.815, 26.654]"
2,"[[97, 75, 191, 50], [97, 75, 190, 196], [97, 75, 190, 192], [97, 75, 188, 217], [66, 219, 235, 72]]",-1.0,-1.0,"[25.115, 25.831, 27.549, 26.74, 26.703]"
3,"[[97, 75, 191, 50], [97, 75, 190, 196], [97, 75, 190, 192], [97, 75, 188, 217], [66, 219, 235, 72]]",-1.0,-1.0,"[27.442, 26.227, 26.483, 26.682, 26.6]"
4,"[[97, 75, 191, 50], [97, 75, 190, 196], [97, 75, 190, 192], [97, 75, 188, 217], [66, 219, 235, 72]]",-1.0,-1.0,"[25.313, 25.96, 26.298, 27.704, 26.634]"
5,"[[97, 75, 191, 50], [97, 75, 190, 196], [97, 75, 190, 192], [97, 75, 188, 217], [66, 219, 235, 72]]",-1.0,-1.0,"[24.938, 25.825, 26.316, 26.653, 26.569]"
6,"[[97, 75, 191, 50], [97, 75, 190, 196], [97, 75, 190, 192], [97, 75, 188, 217], [66, 219, 235, 72]]",-1.0,-1.0,"[25.126, 25.911, 41.164, 26.852, 26.807]"
7,"[[97, 75, 191, 50], [97, 75, 190, 196], [97, 75, 190, 192], [97, 75, 188, 217], [66, 219, 235, 72]]",-1.0,-1.0,"[25.14, 28.89, 26.332, 26.69, 26.551]"
8,"[[97, 75, 191, 50], [97, 75, 190, 196], [97, 75, 190, 192], [97, 75, 188, 217], [66, 219, 235, 72]]",-1.0,-1.0,"[25.052, 25.877, 26.314, 26.85, 26.725]"
9,"[[97, 75, 191, 50], [97, 75, 190, 196], [97, 75, 190, 192], [97, 75, 188, 217], [66, 219, 235, 72]]",-1.0,-1.0,"[25.051, 25.841, 26.404, 26.75, 26.629]"
10,"[[97, 75, 191, 50], [97, 75, 190, 196], [97, 75, 190, 192], [97, 75, 188, 217], [66, 219, 235, 72]]",-1.0,-1.0,"[25.141, 26.006, 26.285, 28.113, 26.666]"
11,"[[97, 75, 191, 50], [97, 75, 190, 196], [97, 75, 190, 192], [97, 75, 188, 217], [66, 219, 235, 72]]",-1.0,-1.0,"[25.806, 26.052, 26.551, 26.509, 26.637]"
12,"[[97, 75, 191, 50], [97, 75, 190, 196], [97, 75, 190, 192], [97, 75, 188, 217], [66, 219, 235, 72]]",-1.0,-1.0,"[25.233, 25.989, 26.434, 26.453, 26.573]"
13,"[[97, 75, 191, 50], [97, 75, 190, 196], [97, 75, 190, 192], [97, 75, 188, 217], [66, 219, 235, 72]]",-1.0,-1.0,"[25.024, 25.937, 26.542, 32.318, 26.509]"
14,"[[97, 75, 191, 50], [97, 75, 190, 196], [97, 75, 190, 192], [97, 75, 188, 217], [66, 219, 235, 72]]",-1.0,-1.0,"[25.309, 25.864, 26.426, 26.668, 26.557]"
15,"[[97, 75, 191, 50], [97, 75, 190, 196], [97, 75, 190, 192], [97, 75, 188, 217], [66, 219, 235, 72]]",-1.0,-1.0,"[25.239, 25.932, 26.52, 26.784, 26.542]"
16,"[[97, 75, 191, 50], [97, 75, 190, 196], [97, 75, 190, 192], [97, 75, 188, 217], [66, 219, 235, 72]]",-1.0,-1.0,"[25.069, 25.915, 26.298, 26.704, 26.571]"
