,Traceroute,TTL,Latency,Delay
0,"[[97, 75, 191, 50], [97, 75, 190, 196], [97, 75, 190, 192], [97, 75, 188, 217], [66, 219, 236, 117]]",50.0,26.4,"[25.305, 25.83, 26.182, 26.609, 26.29]"
1,"[[97, 75, 191, 50], [97, 75, 190, 196], [97, 75, 190, 192], [97, 75, 188, 217], [66, 219, 236, 117]]",50.0,26.4,"[25.094, 25.916, 26.438, 26.728, 26.344]"
2,"[[97, 75, 191, 50], [97, 75, 190, 196], [97, 75, 190, 192], [97, 75, 188, 217], [66, 219, 236, 117]]",50.0,26.4,"[25.585, 31.285, 26.536, 26.736, 26.28]"
3,"[[97, 75, 191, 50], [97, 75, 190, 196], [97, 75, 190, 192], [97, 75, 188, 217], [66, 219, 236, 117]]",50.0,26.3,"[25.094, 26.321, 26.248, 28.285, 26.263]"
4,"[[97, 75, 191, 50], [97, 75, 190, 196], [97, 75, 190, 192], [97, 75, 188, 217], [66, 219, 236, 117]]",50.0,26.3,"[25.326, 25.846, 26.285, 26.672, 26.272]"
5,"[[97, 75, 191, 50], [97, 75, 190, 196], [97, 75, 190, 192], [97, 75, 188, 217], [66, 219, 236, 117]]",50.0,26.4,"[25.865, 25.862, 26.282, 26.723, 26.25]"
6,"[[97, 75, 191, 50], [97, 75, 190, 196], [97, 75, 190, 192], [97, 75, 188, 217], [66, 219, 236, 117]]",50.0,29.1,"[25.145, 26.554, 26.274, 26.683, 26.268]"
7,"[[97, 75, 191, 50], [97, 75, 190, 196], [97, 75, 190, 192], [97, 75, 188, 217], [66, 219, 236, 117]]",50.0,26.4,"[25.851, 26.056, 26.231, 26.797, 26.357]"
8,"[[97, 75, 191, 50], [97, 75, 190, 196], [97, 75, 190, 192], [97, 75, 188, 217], [66, 219, 236, 117]]",50.0,26.4,"[25.177, 25.981, 26.474, 26.668, 26.364]"
9,"[[97, 75, 191, 50], [97, 75, 190, 196], [97, 75, 190, 192], [97, 75, 188, 217], [66, 219, 236, 117]]",50.0,26.4,"[25.149, 26.078, 26.437, 26.942, 26.267]"
