,Traceroute,TTL,Latency,Delay
0,"[[10, 88, 3, 220], [4, 7, 18, 9], [4, 68, 110, 178], [67, 14, 33, 170], [69, 29, 186, 7]]",-1.0,-1.0,"[0.806, 0.969, 1.439, 44.184, 44.249]"
1,"[[4, 7, 18, 9], [4, 68, 110, 178], [67, 14, 33, 170], [69, 29, 186, 7], [72, 160, 10, 9]]",54.0,119.0,"[1.693, 1.421, 44.285, 44.347, 119.269]"
2,"[[4, 7, 18, 9], [4, 68, 110, 178], [67, 14, 33, 170], [69, 29, 186, 7], [72, 160, 10, 9]]",54.0,179.0,"[0.952, 1.594, 44.353, 44.35, 160.106]"
3,"[[4, 7, 18, 9], [4, 68, 110, 178], [67, 14, 33, 170], [69, 29, 186, 7], [72, 160, 10, 9]]",54.0,121.0,"[0.997, 1.396, 44.089, 44.127, 118.978]"
4,"[[4, 7, 18, 9], [4, 68, 110, 178], [67, 14, 33, 170], [69, 29, 186, 7], [72, 160, 10, 9]]",54.0,174.0,"[0.973, 1.526, 44.207, 44.247, 177.373]"
5,"[[10, 88, 3, 222], [4, 68, 110, 178], [67, 14, 33, 170], [69, 29, 186, 7], [72, 160, 10, 9]]",54.0,171.0,"[0.834, 1.444, 44.429, 44.424, 145.739]"
6,"[[4, 7, 18, 9], [4, 68, 110, 178], [67, 14, 33, 170], [69, 29, 186, 7], [72, 160, 10, 9]]",54.0,118.0,"[0.99, 1.294, 44.136, 44.18, 119.478]"
7,"[[4, 7, 18, 9], [4, 68, 110, 178], [67, 14, 33, 170], [69, 29, 186, 7], [72, 160, 10, 9]]",54.0,119.0,"[1.025, 1.779, 44.251, 44.288, 118.735]"
8,"[[4, 7, 18, 9], [4, 68, 110, 178], [67, 14, 33, 170], [69, 29, 186, 7], [72, 160, 10, 9]]",54.0,119.0,"[15.53, 1.598, 44.128, 44.165, 118.931]"
9,"[[4, 7, 18, 9], [4, 68, 110, 178], [67, 14, 33, 170], [69, 29, 186, 7], [72, 160, 10, 9]]",54.0,144.0,"[3.847, 3.634, 44.213, 44.251, 119.83]"
10,"[[4, 7, 18, 9], [4, 68, 110, 178], [67, 14, 33, 170], [69, 29, 186, 7], [72, 160, 10, 9]]",54.0,119.0,"[2.442, 1.312, 44.177, 44.263, 118.602]"
11,"[[4, 7, 18, 9], [4, 68, 110, 178], [67, 14, 33, 170], [69, 29, 186, 7], [72, 160, 10, 9]]",54.0,120.0,"[0.87, 1.384, 44.223, 44.281, 118.741]"
12,"[[4, 7, 18, 9], [4, 68, 110, 178], [67, 14, 33, 170], [69, 29, 186, 7], [72, 160, 10, 9]]",54.0,118.0,"[9.978, 1.477, 44.264, 44.46, 120.387]"
13,"[[4, 7, 18, 9], [4, 68, 110, 178], [67, 14, 33, 170], [69, 29, 186, 7], [72, 160, 10, 9]]",54.0,119.0,"[14.327, 1.434, 44.361, 44.315, 120.834]"
14,"[[4, 7, 18, 9], [4, 68, 110, 178], [67, 14, 33, 170], [69, 29, 186, 7], [72, 160, 10, 9]]",54.0,120.0,"[0.924, 5.968, 44.234, 44.433, 118.351]"
15,"[[4, 7, 18, 9], [4, 68, 110, 178], [67, 14, 33, 170], [69, 29, 186, 7], [72, 160, 10, 9]]",54.0,118.0,"[1.008, 1.396, 44.207, 44.263, 119.078]"
16,"[[4, 7, 18, 9], [4, 68, 110, 178], [67, 14, 33, 170], [69, 29, 186, 7], [72, 160, 10, 9]]",54.0,119.0,"[2.332, 1.377, 44.194, 44.457, 119.999]"
17,"[[4, 7, 18, 9], [4, 68, 110, 178], [67, 14, 33, 170], [69, 29, 186, 7], [72, 160, 10, 9]]",54.0,118.0,"[0.8, 1.332, 44.066, 44.089, 119.907]"
