,IP,Traceroute
0,97.117.140.93,"[[4, 68, 38], [207, 108, 177], [97, 117, 140]]"
1,97.117.140.93,"[[4, 68, 38], [207, 108, 177], [97, 117, 140]]"
2,97.117.140.93,"[[4, 68, 38], [207, 108, 177], [97, 117, 140]]"
3,97.117.140.93,"[[4, 68, 38], [207, 108, 177], [97, 117, 140]]"
4,97.117.140.93,"[[4, 68, 38], [207, 108, 177], [97, 117, 140]]"
5,97.117.140.93,"[[4, 68, 38], [207, 108, 177], [97, 117, 140]]"
6,97.117.140.93,"[[4, 68, 38], [207, 108, 177], [97, 117, 140]]"
7,97.117.140.93,"[[4, 68, 38], [207, 108, 177], [97, 117, 140]]"
8,97.117.140.93,"[[4, 68, 38], [207, 108, 177], [97, 117, 140]]"
9,97.117.140.93,"[[4, 68, 38], [207, 108, 177], [97, 117, 140]]"
10,97.117.140.93,"[[4, 68, 38], [207, 108, 177], [97, 117, 140]]"
11,97.117.140.93,"[[4, 68, 38], [207, 108, 177], [97, 117, 140]]"
12,97.117.140.93,"[[4, 68, 38], [207, 108, 177], [97, 117, 140]]"
13,97.117.140.93,"[[4, 68, 38], [207, 108, 177], [97, 117, 140]]"
14,97.117.140.93,"[[4, 68, 38], [207, 108, 177], [97, 117, 140]]"
15,97.117.140.93,"[[4, 68, 38], [207, 108, 177], [97, 117, 140]]"
16,97.117.140.93,"[[4, 68, 38], [207, 108, 177], [97, 117, 140]]"
17,97.117.140.93,"[[4, 68, 38], [207, 108, 177], [97, 117, 140]]"
18,97.117.140.93,"[[4, 68, 38], [207, 108, 177], [97, 117, 140]]"
19,97.117.140.93,"[[4, 68, 38], [207, 108, 177], [97, 117, 140]]"
20,97.117.140.93,"[[4, 68, 38], [207, 108, 177], [97, 117, 140]]"
21,97.117.140.93,"[[4, 68, 38], [207, 108, 177], [97, 117, 140]]"
22,97.117.140.93,"[[4, 68, 38], [207, 108, 177], [97, 117, 140]]"
23,97.117.140.93,"[[4, 68, 38], [207, 108, 177], [97, 117, 140]]"
24,97.117.140.93,"[[4, 68, 38], [207, 108, 177], [97, 117, 140]]"
